title,author,num_tokens,num_types,ttr,mtld,hdd,num_sentences,mean_sent_len,median_sent_len,stdev_sent_len,zipf_alpha,zipf_r2
Carmilla,Joseph Sheridan Le Fanu,31263,4469,0.1429,89.1,0.8673,1586,23.33,19.0,17.56,0.9714,0.9884
The First Men in the Moon,H. G. Wells,71975,7948,0.1104,84.32,0.8588,4576,18.56,15.0,14.49,0.9817,0.9893
The Cask of Amontillado,Edgar Allan Poe,5381,1343,0.2496,59.84,0.8502,355,17.99,14.0,16.15,0.9804,0.9831
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",Henry Francis Cary,101081,11376,0.1125,89.34,0.8432,3787,31.05,27.0,22.16,1.0779,0.9903
Dead Souls,Nikolai Vasilevich Gogol,145719,12611,0.0865,92.8,0.8622,7242,23.9,17.0,21.51,1.0094,0.9905
Mrs. Warren's Profession,Bernard Shaw,38535,5188,0.1346,84.83,0.878,3144,14.55,10.0,14.78,0.96,0.981
"The Country of the Blind, and Other Stories",H. G. Wells,165117,13909,0.0842,80.2,0.8567,10284,19.04,15.0,14.33,0.9927,0.9942
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",Charles Darwin,157863,7577,0.048,77.58,0.853,5228,34.49,31.0,25.77,0.9637,0.9916
Cyrano de Bergerac,Edmond Rostand,38427,5584,0.1453,81.77,0.8863,5703,9.48,7.0,10.15,0.9455,0.9829
The Wheels of Chance: A Bicycling Idyll,H. G. Wells,59610,7589,0.1273,88.01,0.8684,4493,16.25,12.0,13.44,0.9654,0.9926
The Mysterious Island,Jules Verne,197066,10203,0.0518,89.68,0.8477,10993,21.38,19.0,14.56,0.9728,0.992
The Stolen Bacillus and Other Incidents,H. G. Wells,47459,6421,0.1353,80.25,0.8525,3220,17.41,14.0,12.81,0.9539,0.9952
The Square Root of 2,Jerry Bonnell,3150,718,0.2279,58.45,0.8351,122,29.33,25.5,25.03,0.9053,0.9879
The Waste Land,T. S. Eliot,7674,2294,0.2989,73.22,0.8782,486,18.74,11.0,23.22,0.9313,0.9937
Twenty Years at Hull House; with Autobiographical Notes,Jane Addams,108936,10163,0.0933,95.32,0.8534,2857,41.77,39.0,24.88,0.9768,0.994
The Eighteenth Brumaire of Louis Bonaparte,Karl Marx,43160,6036,0.1399,58.86,0.8178,1485,34.07,28.0,27.84,0.9547,0.9962
The Lost World,Arthur Conan Doyle,79344,8565,0.1079,100.41,0.8674,4583,20.23,17.0,14.11,1.0061,0.9845
"The Jimmyjohn Boss, and Other Stories",Owen Wister,70092,8013,0.1143,105.1,0.8772,5270,16.34,13.0,12.14,0.9483,0.9931
The Jungle,Upton Sinclair,153311,11609,0.0757,73.37,0.8468,6776,26.47,23.0,18.19,1.0356,0.9879
The Natural History of Selborne,Gilbert White,87786,10095,0.115,101.39,0.8613,2938,34.69,31.0,24.66,0.9746,0.9918
Heidi,Johanna Spyri,95332,5463,0.0573,86.91,0.8615,4098,26.86,23.0,19.11,0.9073,0.9869
