title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
Carmilla,7.775527e-06,7.907862e-06,1.2394211e-05,0.146186,1.7634005e-05,9.5347e-06,0.004685901,2.2094486e-05,0.46745354,0.34511018,0.0013844743,9.07726e-06,7.69663e-06,0.035028365,1.111161e-05,7.1870977e-06,9.134477e-06,1.1291197e-05,6.6270145e-06,1.21056e-05
The First Men in the Moon,2.6526632e-06,2.6978103e-06,4.2283523e-06,4.8371808e-06,6.015937e-06,3.2528148e-06,4.580427e-06,0.06363401,0.018977834,0.8641834,6.07579e-06,3.0967565e-06,2.6257471e-06,4.969543e-06,3.790786e-06,2.4519175e-06,3.1162765e-06,0.00034604335,2.2608422e-06,0.052802037
The Cask of Amontillado,7.3935116e-05,7.519346e-05,0.00011785278,0.00013482207,0.0001676764,9.0662565e-05,0.017853219,0.023330135,0.22968264,0.69504434,0.00016934462,8.63129e-05,7.318491e-05,0.0325543,0.000105656916,6.833993e-05,8.685696e-05,0.000107364554,6.301427e-05,0.000115108465
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",1.3912047e-06,1.4148823e-06,0.0036567287,2.536888e-06,0.0011840742,1.7059577e-06,2.8775441e-06,0.009575042,0.9542149,6.2013605e-06,3.1864836e-06,0.02816567,1.3770883e-06,2.6063058e-06,0.0028130442,1.2859224e-06,1.6343494e-06,0.00036098514,1.1857119e-06,2.1659455e-06
Dead Souls,1.2897945e-06,1.3117461e-06,0.0012340931,0.024815887,0.0013009117,1.581604e-06,2.2271238e-06,0.016318599,0.19356407,0.16398706,0.10407139,1.5057243e-06,1.2767072e-06,0.4936394,1.8431796e-06,1.1921866e-06,1.5152154e-06,0.0010516992,1.0992808e-06,2.0080615e-06
Mrs. Warren's Profession,0.0033789442,4.973202e-06,0.45166862,0.0051917573,1.1089909e-05,5.99631e-06,0.041524187,1.3895075e-05,0.3613201,0.118357,0.012283459,5.7086286e-06,4.8403595e-06,9.160964e-06,6.9880175e-06,4.519918e-06,5.7446123e-06,0.0061912085,4.167686e-06,7.613132e-06
"The Country of the Blind, and Other Stories",1.1381198e-06,1.15749e-06,1.8141661e-06,2.0753828e-06,2.5811257e-06,1.3956137e-06,1.965223e-06,0.026932487,0.07623752,0.8804575,2.6068058e-06,1.3286572e-06,1.1265715e-06,2.1321725e-06,1.6264291e-06,1.0519902e-06,1.3370322e-06,1.6527157e-06,9.700098e-07,0.016346509
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",8.891303e-07,9.0426283e-07,1.4172762e-06,1.6213457e-06,2.016446e-06,1.0902916e-06,1.5352858e-06,0.9999699,4.4599924e-06,3.9633014e-06,2.0365078e-06,1.0379832e-06,8.801085e-07,1.6657114e-06,1.2706108e-06,8.2184357e-07,1.0445261e-06,1.2911466e-06,7.5779815e-07,1.3842736e-06
Cyrano de Bergerac,3.8399107e-06,3.905264e-06,0.8826397,0.045342106,0.046600148,4.708671e-06,6.6304797e-06,1.0911267e-05,1.9261928e-05,0.0004766556,8.79512e-06,4.4827657e-06,3.8009478e-06,0.002235128,0.022617014,3.5493174e-06,4.5110223e-06,5.5761093e-06,3.2727228e-06,5.9782988e-06
The Wheels of Chance: A Bicycling Idyll,3.062072e-06,3.1141867e-06,4.880951e-06,5.5837454e-06,6.944429e-06,3.7548502e-06,5.2873643e-06,8.701006e-06,0.058905877,0.41226003,0.52875775,3.574706e-06,3.0310016e-06,5.736536e-06,4.375851e-06,2.8303432e-06,3.5972387e-06,4.446574e-06,2.6097775e-06,4.7672934e-06
The Mysterious Island,1.0033035e-06,1.0203792e-06,1.5992684e-06,1.8295426e-06,2.2753775e-06,1.2302959e-06,1.7324319e-06,0.25221702,5.032789e-06,4.472269e-06,2.2980157e-06,1.1712706e-06,9.931231e-07,1.8796053e-06,1.43377e-06,9.2737645e-07,0.0037979966,0.74395365,8.551069e-07,1.562028e-06
The Stolen Bacillus and Other Incidents,4.0977147e-06,4.167456e-06,6.531769e-06,7.4722598e-06,9.293149e-06,5.0248022e-06,7.0756378e-06,0.0464587,2.0555148e-05,0.9507754,9.385608e-06,4.78373e-06,4.0561363e-06,7.676726e-06,5.8558358e-06,3.787612e-06,0.0026503005,5.9504787e-06,3.4924474e-06,6.3796706e-06
The Square Root of 2,0.00043161234,0.00043895814,0.0006879912,0.00078705314,0.0009788474,0.00052926247,0.18014689,0.4766382,0.16483104,0.0019239079,0.0009885861,0.1671925,0.00042723282,0.0008085897,0.0006167952,0.00039894917,0.0005070464,0.0006267639,0.0003678595,0.0006719707
The Waste Land,2.7425865e-05,0.091877356,4.3716904e-05,5.001158e-05,0.07320243,0.044707265,0.035126016,0.07066479,0.24753368,0.18732968,0.034794796,0.038419064,0.015960956,0.026671052,0.05171813,2.5350357e-05,0.041454833,3.9826347e-05,2.337483e-05,0.040330276
Twenty Years at Hull House; with Autobiographical Notes,1.2776953e-06,1.299441e-06,0.0013799866,0.007174861,2.897667e-06,1.5667674e-06,2.2062318e-06,0.044042286,0.5536994,5.6953763e-06,0.38259056,1.4915995e-06,1.2647307e-06,0.010944056,1.8258893e-06,1.1810031e-06,1.5010016e-06,0.00014356662,1.0889687e-06,1.9892245e-06
The Eighteenth Brumaire of Louis Bonaparte,2.5419206e-06,2.5851828e-06,4.0518285e-06,0.0066517135,5.7647853e-06,3.1170175e-06,4.3892046e-06,0.0062481896,0.051108487,1.1330661e-05,5.8221403e-06,0.0002108153,2.5161282e-06,0.93339187,0.0023316713,2.3495556e-06,2.9861792e-06,3.6912388e-06,2.166457e-06,3.957478e-06
The Lost World,2.6143596e-06,2.6588546e-06,4.1672965e-06,0.002501369,0.008108173,3.2058454e-06,4.514287e-06,0.16045189,0.12561141,0.50333685,0.033383176,3.0520403e-06,2.5878321e-06,0.13140127,3.7360483e-06,2.4165126e-06,3.0712786e-06,0.03285286,2.2281963e-06,0.0023187443
