sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Dracula This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Dracula
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Dracula
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Dracula
"Title : Dracula Author : Bram Stoker Release date : October 1, 1995 [eBook #345] Most recently updated: September 24, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/345 Credits : Chuck Greif and the Online Distributed Proofreading Team *** START OF THE PROJECT GUTENBERG EBOOK DRACULA *** D R A C U L A by Bram Stoker NEW YORK GROSSET & DUNLAP Publishers Copyright, 1897, in the United States of America, according to Act of Congress, by Bram Stoker [ All rights reserved. ]",0.6486,0.072,0.0,0.928,positive,Dracula
"PRINTED IN THE UNITED STATES AT THE COUNTRY LIFE PRESS, GARDEN CITY, N.Y. TO MY DEAR FRIEND HOMMY-BEG Contents CHAPTER I. Jonathan Harker's Journal CHAPTER II.",0.8956,0.32,0.0,0.68,positive,Dracula
Jonathan Harker's Journal CHAPTER III.,0.0,0.0,0.0,1.0,neutral,Dracula
Jonathan Harker's Journal CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,Dracula
Jonathan Harker's Journal CHAPTER V. Letters--Lucy and Mina CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,Dracula
Mina Murray's Journal CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,Dracula
"Cutting from ""The Dailygraph,"" 8 August CHAPTER VIII.",-0.128,0.0,0.2,0.8,negative,Dracula
Mina Murray's Journal CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,Dracula
Mina Murray's Journal CHAPTER X. Mina Murray's Journal CHAPTER XI.,0.0,0.0,0.0,1.0,neutral,Dracula
Lucy Westenra's Diary CHAPTER XII.,0.0,0.0,0.0,1.0,neutral,Dracula
Dr. Seward's Diary CHAPTER XIII.,0.0,0.0,0.0,1.0,neutral,Dracula
Dr. Seward's Diary CHAPTER XIV.,0.0,0.0,0.0,1.0,neutral,Dracula
Mina Harker's Journal CHAPTER XV.,0.0,0.0,0.0,1.0,neutral,Dracula
Dr. Seward's Diary CHAPTER XVI.,0.0,0.0,0.0,1.0,neutral,Dracula
Dr. Seward's Diary CHAPTER XVII.,0.0,0.0,0.0,1.0,neutral,Dracula
Dr. Seward's Diary CHAPTER XVIII.,0.0,0.0,0.0,1.0,neutral,Dracula
Dr. Seward's Diary CHAPTER XIX.,0.0,0.0,0.0,1.0,neutral,Dracula
Jonathan Harker's Journal CHAPTER XX.,0.0,0.0,0.0,1.0,neutral,Dracula
Jonathan Harker's Journal CHAPTER XXI.,0.0,0.0,0.0,1.0,neutral,Dracula
Dr. Seward's Diary CHAPTER XXII.,0.0,0.0,0.0,1.0,neutral,Dracula
