sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Original Short Stories -- Volume 13 This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.1779,0.112,0.097,0.791,positive,Original Short Stories — Volume 13
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Original Short Stories — Volume 13
"Title : Original Short Stories -- Volume 13 Author : Guy de Maupassant Translator : A. E. Henderson Albert Cohn McMaster Louise Charlotte Garstin Quesada Release date : October 4, 2004 [eBook #3089] Most recently updated: January 8, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/3089 Credits : Produced by David Widger *** START OF THE PROJECT GUTENBERG EBOOK ORIGINAL SHORT STORIES -- VOLUME 13 *** ORIGINAL SHORT STORIES VOLUME 13 (of 13) By Guy De Maupassant Translated by: ALBERT M. C. McMASTER, B.A.",0.871,0.127,0.0,0.873,positive,Original Short Stories — Volume 13
"A. E. HENDERSON, B.A.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
MME.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"QUESADA and Others INDEX TO ALL VOLUMES CONTENTS OLD JUDAS THE LITTLE CASK BOITELLE A WIDOW THE ENGLISHMAN OF ETRETAT MAGNETISM A FATHER'S CONFESSION A MOTHER OF MONSTERS AN UNCOMFORTABLE BED A PORTRAIT THE DRUNKARD THE WARDROBE THE MOUNTAIN POOL A CREMATION MISTI MADAME HERMET THE MAGIC COUCH OLD JUDAS This entire stretch of country was amazing; it was characterized by a grandeur that was almost religious, and yet it had an air of sinister desolation.",-0.0085,0.09,0.09,0.821,neutral,Original Short Stories — Volume 13
"A great, wild lake, filled with stagnant, black water, in which thousands of reeds were waving to and fro, lay in the midst of a vast circle of naked hills, where nothing grew but broom, or here and there an oak curiously twisted by the wind.",0.3716,0.056,0.0,0.944,positive,Original Short Stories — Volume 13
"Just one house stood on the banks of that dark lake, a small, low house inhabited by Uncle Joseph, an old boatman, who lived on what he could make by his fishing.",-0.2732,0.0,0.065,0.935,negative,Original Short Stories — Volume 13
"Once a week he carried the fish he caught into the surrounding villages, returning with the few provisions that he needed for his sustenance.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"I went to see this old hermit, who offered to take me with him to his nets, and I accepted.",0.2732,0.11,0.0,0.89,positive,Original Short Stories — Volume 13
