sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.1531,0.058,0.091,0.851,negative,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"Title : Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy Author : Otto Heller Release date : May 15, 2011 [eBook #36111] Language : English Other information and formats : www.gutenberg.org/ebooks/36111 Credits : Produced by Jana Srna and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by The Internet Archive/American Libraries.)",0.6486,0.091,0.0,0.909,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"*** START OF THE PROJECT GUTENBERG EBOOK PROPHETS OF DISSENT : ESSAYS ON MAETERLINCK, STRINDBERG, NIETZSCHE AND TOLSTOY *** Transcriber's Notes: Every effort has been made to replicate this text as faithfully as possible, including inconsistencies in spelling and hyphenation.",0.4215,0.069,0.0,0.931,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
Some corrections of spelling have been made.,0.0,0.0,0.0,1.0,neutral,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
They are marked like this in the text.,0.3612,0.263,0.0,0.737,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
The original text appears when hovering the cursor over the marked text.,0.3182,0.173,0.0,0.827,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
A list of amendments is at the end of the text.,0.0,0.0,0.0,1.0,neutral,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"PROPHETS OF DISSENT BOOKS BY OTTO HELLER HENRIK IBSEN: PLAYS AND PROBLEMS STUDIES IN MODERN GERMAN LITERATURE LESSING'S ""MINNA VON BARNHELM"" in English Prophets of Dissent: Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy by Otto Heller Professor of Modern European Literature in Washington University (St. Louis) Is there a thing in this world that can be separated from the inconceivable?",-0.1779,0.043,0.054,0.902,negative,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"Maeterlinck, ""Our Eternity"" New York Mcmxviii Alfred A Knopf COPYRIGHT, 1918, BY ALFRED A. KNOPF PRINTED IN UNITED STATES OF AMERICA To HELLEN SEARS staunchest of friends Preface The collocation of authors so widely at variance in their moral and artistic aims as are those assembled in this little book may be defended by the safe and simple argument that all of these authors have exerted, each in his own way, an influence of singular range and potency.",0.7925,0.112,0.029,0.858,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
By fairly general consent they are the foremost literary expositors of important modern tendencies.,0.4019,0.236,0.0,0.764,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"It is, therefore, of no consequence whether or not their ways of thinking fit into our particular frame of mind; what really matters is that in this small group of writers more clearly perhaps than in any other similarly restricted group the basic issues of the modern struggle for social transformation appear to be clearly and sharply joined.",0.4174,0.145,0.104,0.75,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"That in viewing them as indicators of contrarious ideal currents due allowance must be made for peculiarities of temperament, both individual and racial, and, correspondingly, for the purely ""personal equation"" in their spiritual attitudes, does not detract to any material degree from their generic significance.",0.6808,0.136,0.0,0.864,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"In any case, there are those of us who in the vortical change of the social order through which we are whirling, feel a desire to orient ourselves through an objective interest in letters among the embattled purposes and policies which are now gripped in a final test of strength.",0.836,0.165,0.0,0.835,positive,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
"In a crisis that makes the very foundations of civilization quake, and at a moment when the salvation of human liberty seems to depend upon the success of a united stand of all the modern forces of life against the destructive impact of the most primitive and savage of all the instincts, would it not be absurdly pedantic for a critical student of literature to resort to any artificial selection and co-ordination of his material in order to please the prudes and the pedagogues?",-0.3535,0.125,0.14,0.736,negative,"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy"
