sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Jungle This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,The Jungle
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Jungle
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Jungle
"Title : The Jungle Author : Upton Sinclair Release date : March 11, 2006 [eBook #140] Most recently updated: January 10, 2026 Language : English Other information and formats : www.gutenberg.org/ebooks/140 Credits : David Meltzer, Christy Phillips, Scott Coulter, Leroy Smith and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE JUNGLE *** The Jungle by Upton Sinclair (1906) TO THE WORKINGMEN OF AMERICA Contents CHAPTER I CHAPTER II CHAPTER III CHAPTER IV CHAPTER V CHAPTER VI CHAPTER VII CHAPTER VIII CHAPTER IX CHAPTER X CHAPTER XI CHAPTER XII CHAPTER XIII CHAPTER XIV CHAPTER XV CHAPTER XVI CHAPTER XVII CHAPTER XVIII CHAPTER XIX CHAPTER XX CHAPTER XXI CHAPTER XXII CHAPTER XXIII CHAPTER XXIV CHAPTER XXV CHAPTER XXVI CHAPTER XXVII CHAPTER XXVIII CHAPTER XXIX CHAPTER XXX CHAPTER XXXI CHAPTER I It was four o'clock when the ceremony was over and the carriages began to arrive.",0.3612,0.018,0.0,0.982,positive,The Jungle
"There had been a crowd following all the way, owing to the exuberance of Marija Berczynskas.",0.0,0.0,0.0,1.0,neutral,The Jungle
"The occasion rested heavily upon Marija's broad shoulders--it was her task to see that all things went in due form, and after the best home traditions; and, flying wildly hither and thither, bowling every one out of the way, and scolding and exhorting all day with her tremendous voice, Marija was too eager to see that others conformed to the proprieties to consider them herself.",0.7717,0.096,0.0,0.904,positive,The Jungle
"She had left the church last of all, and, desiring to arrive first at the hall, had issued orders to the coachman to drive faster.",0.0,0.0,0.0,1.0,neutral,The Jungle
"When that personage had developed a will of his own in the matter, Marija had flung up the window of the carriage, and, leaning out, proceeded to tell him her opinion of him, first in Lithuanian, which he did not understand, and then in Polish, which he did.",0.0258,0.023,0.0,0.977,neutral,The Jungle
"Having the advantage of her in altitude, the driver had stood his ground and even ventured to attempt to speak; and the result had been a furious altercation, which, continuing all the way down Ashland Avenue, had added a new swarm of urchins to the cortege at each side street for half a mile.",-0.4019,0.037,0.068,0.896,negative,The Jungle
"This was unfortunate, for already there was a throng before the door.",-0.4588,0.0,0.231,0.769,negative,The Jungle
"The music had started up, and half a block away you could hear the dull ""broom, broom"" of a cello, with the squeaking of two fiddles which vied with each other in intricate and altitudinous gymnastics.",-0.6124,0.042,0.147,0.812,negative,The Jungle
"Seeing the throng, Marija abandoned precipitately the debate concerning the ancestors of her coachman, and, springing from the moving carriage, plunged in and proceeded to clear a way to the hall.",-0.1027,0.077,0.089,0.833,negative,The Jungle
"Once within, she turned and began to push the other way, roaring, meantime, "" Eik!",0.0,0.0,0.0,1.0,neutral,The Jungle
Eik!,0.0,0.0,0.0,1.0,neutral,The Jungle
"Uzdaryk-duris! """,0.0,0.0,0.0,1.0,neutral,The Jungle
in tones which made the orchestral uproar sound like fairy music.,0.3612,0.2,0.0,0.8,positive,The Jungle
"""Z. Graiczunas, Pasilinksminimams darzas.",0.0,0.0,0.0,1.0,neutral,The Jungle
Vynas.,0.0,0.0,0.0,1.0,neutral,The Jungle
Sznapsas.,0.0,0.0,0.0,1.0,neutral,The Jungle
Wines and Liquors.,0.0,0.0,0.0,1.0,neutral,The Jungle
"Union Headquarters""--that was the way the signs ran.",0.0,0.0,0.0,1.0,neutral,The Jungle
"The reader, who perhaps has never held much converse in the language of far-off Lithuania, will be glad of the explanation that the place was the rear room of a saloon in that part of Chicago known as ""back of the yards.""",0.4588,0.07,0.0,0.93,positive,The Jungle
"This information is definite and suited to the matter of fact; but how pitifully inadequate it would have seemed to one who understood that it was also the supreme hour of ecstasy in the life of one of God's gentlest creatures, the scene of the wedding feast and the joy-transfiguration of little Ona Lukoszaite!",0.8883,0.24,0.09,0.67,positive,The Jungle
"She stood in the doorway, shepherded by Cousin Marija, breathless from pushing through the crowd, and in her happiness painful to look upon.",0.1779,0.131,0.105,0.764,positive,The Jungle
"There was a light of wonder in her eyes and her lids trembled, and her otherwise wan little face was flushed.",-0.2732,0.0,0.1,0.9,negative,The Jungle
"She wore a muslin dress, conspicuously white, and a stiff little veil coming to her shoulders.",0.0,0.0,0.0,1.0,neutral,The Jungle
"There were five pink paper roses twisted in the veil, and eleven bright green rose leaves.",0.4404,0.162,0.0,0.838,positive,The Jungle
"There were new white cotton gloves upon her hands, and as she stood staring about her she twisted them together feverishly.",0.0,0.0,0.0,1.0,neutral,The Jungle
"It was almost too much for her--you could see the pain of too great emotion in her face, and all the tremor of her form.",0.2023,0.135,0.109,0.757,positive,The Jungle
"She was so young--not quite sixteen--and small for her age, a mere child; and she had just been married--and married to Jurgis, [1] of all men, to Jurgis Rudkus, he with the white flower in the buttonhole of his new black suit, he with the mighty shoulders and the giant hands.",0.0,0.0,0.0,1.0,neutral,The Jungle
"[1] Pronounced Yoorghis Ona was blue-eyed and fair, while Jurgis had great black eyes with beetling brows, and thick black hair that curled in waves about his ears--in short, they were one of those incongruous and impossible married couples with which Mother Nature so often wills to confound all prophets, before and after.",0.7506,0.111,0.0,0.889,positive,The Jungle
"Jurgis could take up a two-hundred-and-fifty-pound quarter of beef and carry it into a car without a stagger, or even a thought; and now he stood in a far corner, frightened as a hunted animal, and obliged to moisten his lips with his tongue each time before he could answer the congratulations of his friends.",0.6249,0.125,0.052,0.823,positive,The Jungle
Gradually there was effected a separation between the spectators and the guests--a separation at least sufficiently complete for working purposes.,0.0,0.0,0.0,1.0,neutral,The Jungle
"There was no time during the festivities which ensued when there were not groups of onlookers in the doorways and the corners; and if any one of these onlookers came sufficiently close, or looked sufficiently hungry, a chair was offered him, and he was invited to the feast.",0.2263,0.062,0.044,0.895,positive,The Jungle
"It was one of the laws of the veselija that no one goes hungry; and, while a rule made in the forests of Lithuania is hard to apply in the stockyards district of Chicago, with its quarter of a million inhabitants, still they did their best, and the children who ran in from the street, and even the dogs, went out again happier.",0.7184,0.111,0.053,0.836,positive,The Jungle
A charming informality was one of the characteristics of this celebration.,0.5859,0.297,0.0,0.703,positive,The Jungle
"The men wore their hats, or, if they wished, they took them off, and their coats with them; they ate when and where they pleased, and moved as often as they pleased.",0.7003,0.162,0.0,0.838,positive,The Jungle
"There were to be speeches and singing, but no one had to listen who did not care to; if he wished, meantime, to speak or sing himself, he was perfectly free.",0.7191,0.236,0.144,0.621,positive,The Jungle
"The resulting medley of sound distracted no one, save possibly alone the babies, of which there were present a number equal to the total possessed by all the guests invited.",-0.2732,0.128,0.188,0.684,negative,The Jungle
"There was no other place for the babies to be, and so part of the preparations for the evening consisted of a collection of cribs and carriages in one corner.",-0.296,0.0,0.073,0.927,negative,The Jungle
"In these the babies slept, three or four together, or wakened together, as the case might be.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Those who were still older, and could reach the tables, marched about munching contentedly at meat bones and bologna sausages.",0.4588,0.182,0.0,0.818,positive,The Jungle
