sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Thus Spake Zarathustra: A Book for All and None This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.061,0.095,0.844,negative,Thus Spake Zarathustra: A Book for All and None
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Thus Spake Zarathustra: A Book for All and None
"Title : Thus Spake Zarathustra: A Book for All and None Author : Friedrich Wilhelm Nietzsche Translator : Thomas Common Release date : December 1, 1999 [eBook #1998] Most recently updated: April 10, 2023 Language : English Other information and formats : www.gutenberg.org/ebooks/1998 Credits : Sue Asscher and David Widger Revised by Richard Tonsing.",0.3612,0.053,0.0,0.947,positive,Thus Spake Zarathustra: A Book for All and None
*** START OF THE PROJECT GUTENBERG EBOOK THUS SPAKE ZARATHUSTRA: A BOOK FOR ALL AND NONE *** THUS SPAKE ZARATHUSTRA A BOOK FOR ALL AND NONE By Friedrich Nietzsche Translated By Thomas Common CONTENTS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
INTRODUCTION BY MRS FORSTER-NIETZSCHE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THUS SPAKE ZARATHUSTRA.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
FIRST PART.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
ZARATHUSTRA'S PROLOGUE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
ZARATHUSTRA'S DISCOURSES.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
I.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE THREE METAMORPHOSES.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
II.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE ACADEMIC CHAIRS OF VIRTUE.,0.4215,0.412,0.0,0.588,positive,Thus Spake Zarathustra: A Book for All and None
III.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
BACKWORLDSMEN.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
IV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE DESPISERS OF THE BODY.,-0.3818,0.0,0.394,0.606,negative,Thus Spake Zarathustra: A Book for All and None
V. JOYS AND PASSIONS.,0.7506,0.762,0.0,0.238,positive,Thus Spake Zarathustra: A Book for All and None
VI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE PALE CRIMINAL.,-0.5267,0.0,0.63,0.37,negative,Thus Spake Zarathustra: A Book for All and None
VII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
READING AND WRITING.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
VIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE TREE ON THE HILL.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
IX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE PREACHERS OF DEATH.,-0.5994,0.0,0.565,0.435,negative,Thus Spake Zarathustra: A Book for All and None
X.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
WAR AND WARRIORS.,-0.5994,0.0,0.661,0.339,negative,Thus Spake Zarathustra: A Book for All and None
XI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE NEW IDOL.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE FLIES IN THE MARKET-PLACE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
CHASTITY.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE FRIEND.,0.4939,0.762,0.0,0.238,positive,Thus Spake Zarathustra: A Book for All and None
XV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE THOUSAND AND ONE GOALS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
NEIGHBOUR-LOVE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE WAY OF THE CREATING ONE.,0.296,0.306,0.0,0.694,positive,Thus Spake Zarathustra: A Book for All and None
XVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
OLD AND YOUNG WOMEN.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE BITE OF THE ADDER.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
CHILD AND MARRIAGE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
VOLUNTARY DEATH.,-0.5994,0.0,0.796,0.204,negative,Thus Spake Zarathustra: A Book for All and None
XXII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE BESTOWING VIRTUE.,0.4215,0.583,0.0,0.417,positive,Thus Spake Zarathustra: A Book for All and None
SECOND PART.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE CHILD WITH THE MIRROR.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
IN THE HAPPY ISLES.,0.5719,0.552,0.0,0.448,positive,Thus Spake Zarathustra: A Book for All and None
XXV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE PITIFUL.,-0.4939,0.0,0.762,0.238,negative,Thus Spake Zarathustra: A Book for All and None
XXVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE PRIESTS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE VIRTUOUS.,0.5267,0.773,0.0,0.227,positive,Thus Spake Zarathustra: A Book for All and None
XXVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE RABBLE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE TARANTULAS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE FAMOUS WISE ONES.,0.4767,0.508,0.0,0.492,positive,Thus Spake Zarathustra: A Book for All and None
XXXI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE NIGHT-SONG.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE DANCE-SONG.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE GRAVE-SONG.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
SELF-SURPASSING.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SUBLIME ONES.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE LAND OF CULTURE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
IMMACULATE PERCEPTION.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
SCHOLARS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
POETS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XL.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
GREAT EVENTS.,0.6249,0.804,0.0,0.196,positive,Thus Spake Zarathustra: A Book for All and None
XLI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SOOTHSAYER.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
REDEMPTION.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
MANLY PRUDENCE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE STILLEST HOUR.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THIRD PART.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
