mean_vader_compound,pct_positive_vader,pct_negative_vader,pct_neutral_vader,title
0.1225,43.5,25.8,30.7,Carmilla
0.0526,28.4,18.7,53.0,The First Men in the Moon
0.0676,29.0,19.4,51.5,The Cask of Amontillado
0.1259,44.4,24.8,30.8,"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives"
0.1365,45.4,22.3,32.2,Dead Souls
0.0474,40.5,39.8,19.7,Mrs. Warren's Profession
0.0225,24.1,21.4,54.5,"The Country of the Blind, and Other Stories"
0.1372,37.5,12.7,49.8,"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life"
0.0286,16.2,11.7,72.1,Cyrano de Bergerac
0.0511,30.0,22.1,47.9,The Wheels of Chance: A Bicycling Idyll
0.0075,27.8,28.6,43.6,The Mysterious Island
0.0045,25.9,26.6,47.5,The Stolen Bacillus and Other Incidents
0.1571,41.0,14.8,44.3,The Square Root of 2
0.0104,19.5,17.1,63.4,The Waste Land
0.096,46.6,29.9,23.5,Twenty Years at Hull House; with Autobiographical Notes
0.1203,45.0,24.5,30.5,The Eighteenth Brumaire of Louis Bonaparte
0.0868,33.9,18.8,47.4,The Lost World
0.0526,24.6,15.9,59.5,"The Jimmyjohn Boss, and Other Stories"
0.0521,37.9,31.6,30.5,The Jungle
0.1586,43.7,18.7,37.7,The Natural History of Selborne
0.1028,37.2,18.5,44.4,Heidi
0.0723,30.7,21.0,48.3,Pollyanna
0.0398,30.2,21.9,48.0,The silent places
0.0873,38.3,24.4,37.4,The Moonstone
0.111,38.4,16.3,45.3,Daddy-Long-Legs
0.0383,27.4,20.8,51.9,Doña Perfecta
-0.0411,18.4,27.0,54.6,The island of Doctor Moreau
0.0997,36.2,19.8,44.0,Peter Pan
0.1208,38.9,19.5,41.6,"The Awakening, and Selected Short Stories"
0.083,38.1,24.1,37.8,Twenty Thousand Leagues under the Sea
0.0725,27.9,13.9,58.3,The Adventures of Sherlock Holmes
0.0523,33.4,26.2,40.4,The Man Who Was Thursday: A Nightmare
0.0154,23.9,23.3,52.8,The Secret Garden
0.0837,34.8,20.4,44.8,The Picture of Dorian Gray
0.0229,29.7,27.5,42.7,The Phantom of the Opera
-0.0032,7.9,11.4,80.7,Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes
0.0611,24.9,13.5,61.6,The Red House Mystery
0.0685,28.5,16.3,55.2,The Railway Children
0.0657,34.0,22.1,43.8,A Journey to the Centre of the Earth
0.0594,31.9,21.5,46.6,Scaramouche: A Romance of the French Revolution
0.0846,36.8,24.6,38.7,The Yellow Wallpaper
0.0674,27.5,17.2,55.3,Thus Spake Zarathustra: A Book for All and None
0.0776,40.1,27.2,32.6,Flatland: A Romance of Many Dimensions
0.1344,39.7,18.9,41.4,The Turn of the Screw
-0.0377,29.6,38.2,32.2,The call of the wild
0.0608,27.8,17.4,54.8,Kim
-0.1327,1.9,21.7,76.4,Faust: Der Tragödie erster Teil
0.0576,23.0,13.5,63.5,"The Descent of Man, and Selection in Relation to Sex"
0.0313,37.5,32.1,30.4,Up from Slavery: An Autobiography
0.0261,28.4,23.1,48.5,O Pioneers!
0.1321,38.7,16.9,44.4,My Ántonia
