title,rank,keyword,tfidf_score
Carmilla,1,vampire,0.096577
Carmilla,2,mademoiselle,0.085288
Carmilla,3,countess,0.071254
Carmilla,4,madame,0.067379
Carmilla,5,chateau,0.064532
Carmilla,6,stories,0.06312
Carmilla,7,papa,0.060728
Carmilla,8,young lady,0.056834
Carmilla,9,dear child,0.053214
Carmilla,10,baron,0.053214
Carmilla,11,chapel,0.0524
Carmilla,12,hunchback,0.050294
Carmilla,13,bertha,0.050294
Carmilla,14,say father,0.050237
Carmilla,15,mamma,0.049155
Carmilla,16,dressing room,0.049155
Carmilla,17,ladyship,0.04851
Carmilla,18,foot bed,0.04807
Carmilla,19,poor girl,0.045945
Carmilla,20,engaging,0.045093
The First Men in the Moon,1,selenite,0.083628
The First Men in the Moon,2,lunar,0.075688
The First Men in the Moon,3,bedford,0.07131
The First Men in the Moon,4,manhole,0.0636
The First Men in the Moon,5,bungalow,0.059487
The First Men in the Moon,6,oo,0.055796
The First Men in the Moon,7,crater,0.054794
The First Men in the Moon,8,fungus,0.051589
The First Men in the Moon,9,crowbar,0.051326
The First Men in the Moon,10,sphere,0.049392
The First Men in the Moon,11,carbonic,0.04689
The First Men in the Moon,12,carbonic acid,0.04689
The First Men in the Moon,13,tentacle,0.046888
The First Men in the Moon,14,helium,0.046505
The First Men in the Moon,15,oxygen,0.045713
The First Men in the Moon,16,cavern,0.043251
The First Men in the Moon,17,terrestrial,0.042783
The First Men in the Moon,18,gravitation,0.042538
The First Men in the Moon,19,goad,0.041096
The First Men in the Moon,20,grating,0.040847
The Cask of Amontillado,1,ugh,0.16817
The Cask of Amontillado,2,cask,0.164706
The Cask of Amontillado,3,allan,0.152037
The Cask of Amontillado,4,tier,0.148429
The Cask of Amontillado,5,mason,0.140785
The Cask of Amontillado,6,jingle,0.117915
The Cask of Amontillado,7,vault,0.116311
The Cask of Amontillado,8,recess,0.116311
The Cask of Amontillado,9,hearken,0.111621
The Cask of Amontillado,10,sherry,0.111621
The Cask of Amontillado,11,intoxication,0.107305
The Cask of Amontillado,12,granite,0.103421
The Cask of Amontillado,13,reply,0.090827
The Cask of Amontillado,14,wine,0.088243
The Cask of Amontillado,15,cough,0.087433
The Cask of Amontillado,16,bone,0.08554
The Cask of Amontillado,17,torch,0.082504
The Cask of Amontillado,18,wall,0.080928
The Cask of Amontillado,19,parti,0.075903
The Cask of Amontillado,20,damp,0.075412
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",1,goldsmith,0.061759
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",2,ode,0.060878
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",3,johnson,0.059193
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",4,shew,0.058192
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",5,bookseller,0.056303
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",6,boswell,0.055489
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",7,seward,0.052484
